"iso"	"lang"	"dialect"	"genetics"	"vowel"	"f1"	"f2"	"f3"
"boa"	"Bora"	""	"Witotoan>Boran"	"ɯ"	385	1488	2601
"boa"	"Bora"	""	"Witotoan>Boran"	"i"	308	2195	3196
"boa"	"Bora"	""	"Witotoan>Boran"	"e"	420	1975	2676
"boa"	"Bora"	""	"Witotoan>Boran"	"a"	734	1352	2443
"boa"	"Bora"	""	"Witotoan>Boran"	"o"	481	900	2497
"boa"	"Bora"	""	"Witotoan>Boran"	"ɨ"	378	1617	2713
"boa"	"Bora"	""	"Witotoan>Boran"	"ɯ"	394	1492	2488
"bov"	"Tuwuli"	""	"NigerCongo>AtlanticCongo>VoltaCongo>Kwa>LeftBank>KposoAhloBowili"	"i"	288	2145	NA
"bov"	"Tuwuli"	""	"NigerCongo>AtlanticCongo>VoltaCongo>Kwa>LeftBank>KposoAhloBowili"	"e"	341	2084	NA
"bov"	"Tuwuli"	""	"NigerCongo>AtlanticCongo>VoltaCongo>Kwa>LeftBank>KposoAhloBowili"	"ɛ"	493	1906	NA
"bov"	"Tuwuli"	""	"NigerCongo>AtlanticCongo>VoltaCongo>Kwa>LeftBank>KposoAhloBowili"	"a"	784	1412	NA
"bov"	"Tuwuli"	""	"NigerCongo>AtlanticCongo>VoltaCongo>Kwa>LeftBank>KposoAhloBowili"	"ɔ"	574	1044	NA
"bov"	"Tuwuli"	""	"NigerCongo>AtlanticCongo>VoltaCongo>Kwa>LeftBank>KposoAhloBowili"	"o"	373	861	NA
"bov"	"Tuwuli"	""	"NigerCongo>AtlanticCongo>VoltaCongo>Kwa>LeftBank>KposoAhloBowili"	"u"	315	985	NA
"bre"	"Breton"	"Argol"	"IndoEuropean>Celtic>Insular>Brythonic"	"i"	275	2100	2800
"bre"	"Breton"	"Argol"	"IndoEuropean>Celtic>Insular>Brythonic"	"e"	350	2000	2700
"bre"	"Breton"	"Argol"	"IndoEuropean>Celtic>Insular>Brythonic"	"ɛ"	650	1600	2650
"bre"	"Breton"	"Argol"	"IndoEuropean>Celtic>Insular>Brythonic"	"a"	725	1300	2600
"bre"	"Breton"	"Argol"	"IndoEuropean>Celtic>Insular>Brythonic"	"o"	550	950	2600
"bre"	"Breton"	"Argol"	"IndoEuropean>Celtic>Insular>Brythonic"	"u"	325	900	2500
"bre"	"Breton"	"Argol"	"IndoEuropean>Celtic>Insular>Brythonic"	"y"	300	1750	2500
"bre"	"Breton"	"Argol"	"IndoEuropean>Celtic>Insular>Brythonic"	"ø"	525	1575	2500
"bru"	"Brou"	"Eastern"	"AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo"	"i"	400	2560	3120
"bru"	"Brou"	"Eastern"	"AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo"	"e"	600	2380	2960
"bru"	"Brou"	"Eastern"	"AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo"	"ɛ"	800	2120	2720
"bru"	"Brou"	"Eastern"	"AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo"	"a"	1120	1840	NA
"bru"	"Brou"	"Eastern"	"AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo"	"ɑ"	920	1400	3160
"bru"	"Brou"	"Eastern"	"AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo"	"ɔ"	760	1040	NA
"bru"	"Brou"	"Eastern"	"AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo"	"o"	520	840	NA
"bru"	"Brou"	"Eastern"	"AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo"	"u"	400	880	NA
"bru"	"Brou"	"Eastern"	"AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo"	"ɨ"	440	1280	2840
"bru"	"Brou"	"Eastern"	"AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo"	"ə"	640	1360	NA
"bru"	"Brou"	"Eastern"	"AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo"	"i"	400	2560	3040
"bru"	"Brou"	"Eastern"	"AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo"	"e"	600	2320	3160
"bru"	"Brou"	"Eastern"	"AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo"	"ɛ"	880	2000	2560
"bru"	"Brou"	"Eastern"	"AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo"	"a"	1120	1760	NA
"bru"	"Brou"	"Eastern"	"AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo"	"ɑ"	1000	1400	NA
"bru"	"Brou"	"Eastern"	"AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo"	"ɔ"	760	1080	NA
"bru"	"Brou"	"Eastern"	"AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo"	"o"	560	840	NA
"bru"	"Brou"	"Eastern"	"AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo"	"u"	400	840	NA
"bru"	"Brou"	"Eastern"	"AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo"	"ɨ"	440	1200	2800
"bru"	"Brou"	"Eastern"	"AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo"	"ə"	800	1160	NA
"brx"	"Bodo"	""	"SinoTibetan>TibetoBurman>Brahmaputran>BodoKoch>BodoGaro"	"i"	265	2390	3260
"brx"	"Bodo"	""	"SinoTibetan>TibetoBurman>Brahmaputran>BodoKoch>BodoGaro"	"e"	520	1975	2760
"brx"	"Bodo"	""	"SinoTibetan>TibetoBurman>Brahmaputran>BodoKoch>BodoGaro"	"a"	640	1270	2210
"brx"	"Bodo"	""	"SinoTibetan>TibetoBurman>Brahmaputran>BodoKoch>BodoGaro"	"o"	535	1150	2265
"brx"	"Bodo"	""	"SinoTibetan>TibetoBurman>Brahmaputran>BodoKoch>BodoGaro"	"u"	285	1210	2260
"brx"	"Bodo"	""	"SinoTibetan>TibetoBurman>Brahmaputran>BodoKoch>BodoGaro"	"ɯ"	365	1265	2255
"bul"	"Bulgarian"	""	"IndoEuropean>BaltoSlavic>Slavic>South>Eastern"	"i"	261	1991	2559
"bul"	"Bulgarian"	""	"IndoEuropean>BaltoSlavic>Slavic>South>Eastern"	"e"	419	1684	2355
"bul"	"Bulgarian"	""	"IndoEuropean>BaltoSlavic>Slavic>South>Eastern"	"a"	575	1072	2186
"bul"	"Bulgarian"	""	"IndoEuropean>BaltoSlavic>Slavic>South>Eastern"	"o"	383	807	2244
"bul"	"Bulgarian"	""	"IndoEuropean>BaltoSlavic>Slavic>South>Eastern"	"u"	283	667	2217
"bul"	"Bulgarian"	""	"IndoEuropean>BaltoSlavic>Slavic>South>Eastern"	"ə"	370	1144	2235
"bul"	"Bulgarian"	"Standard"	"IndoEuropean>BaltoSlavic>Slavic>South>Eastern"	"i"	325	2140	2560
"bul"	"Bulgarian"	"Standard"	"IndoEuropean>BaltoSlavic>Slavic>South>Eastern"	"e"	500	1810	2380
"bul"	"Bulgarian"	"Standard"	"IndoEuropean>BaltoSlavic>Slavic>South>Eastern"	"a"	770	1455	2260
"bul"	"Bulgarian"	"Standard"	"IndoEuropean>BaltoSlavic>Slavic>South>Eastern"	"o"	495	990	2270
"bul"	"Bulgarian"	"Standard"	"IndoEuropean>BaltoSlavic>Slavic>South>Eastern"	"u"	365	945	2215
"bul"	"Bulgarian"	"Standard"	"IndoEuropean>BaltoSlavic>Slavic>South>Eastern"	"ə"	495	1515	2380
"bvi"	"Viri"	""	"NigerCongo>AtlanticCongo>VoltaCongo>North>AdamawaUbangi>Ubangi>SereNgbakaMba>Sere>SereBviri"	"i"	332	2094	2931
"bvi"	"Viri"	""	"NigerCongo>AtlanticCongo>VoltaCongo>North>AdamawaUbangi>Ubangi>SereNgbakaMba>Sere>SereBviri"	"ɛ"	516	1813	2830
"bvi"	"Viri"	""	"NigerCongo>AtlanticCongo>VoltaCongo>North>AdamawaUbangi>Ubangi>SereNgbakaMba>Sere>SereBviri"	"a"	603	1367	2578
"bvi"	"Viri"	""	"NigerCongo>AtlanticCongo>VoltaCongo>North>AdamawaUbangi>Ubangi>SereNgbakaMba>Sere>SereBviri"	"ɔ"	498	995	2550
"bvi"	"Viri"	""	"NigerCongo>AtlanticCongo>VoltaCongo>North>AdamawaUbangi>Ubangi>SereNgbakaMba>Sere>SereBviri"	"ʊ"	352	772	2466
"bvi"	"Viri"	""	"NigerCongo>AtlanticCongo>VoltaCongo>North>AdamawaUbangi>Ubangi>SereNgbakaMba>Sere>SereBviri"	"u"	318	853	2298
"bvr"	"Burarra"	""	"Australian>Gunwigguan>Burarran"	"i"	420	1915	NA
"bvr"	"Burarra"	""	"Australian>Gunwigguan>Burarran"	"e"	640	1690	NA
"bvr"	"Burarra"	""	"Australian>Gunwigguan>Burarran"	"a"	770	1400	NA
"bvr"	"Burarra"	""	"Australian>Gunwigguan>Burarran"	"o"	635	1150	NA
"bvr"	"Burarra"	""	"Australian>Gunwigguan>Burarran"	"u"	465	1110	NA
"bvx"	"Dibole"	"Dzeke"	"NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>C>Ngundi"	"i"	264	2005	NA
"bvx"	"Dibole"	"Dzeke"	"NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>C>Ngundi"	"e"	333	1989	NA
"bvx"	"Dibole"	"Dzeke"	"NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>C>Ngundi"	"ɛ"	511	1912	NA
"bvx"	"Dibole"	"Dzeke"	"NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>C>Ngundi"	"a"	750	1422	NA
"bvx"	"Dibole"	"Dzeke"	"NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>C>Ngundi"	"ɔ"	577	1027	NA
"bvx"	"Dibole"	"Dzeke"	"NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>C>Ngundi"	"o"	370	850	NA
"bvx"	"Dibole"	"Dzeke"	"NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>C>Ngundi"	"u"	313	818	NA
"cat"	"Catalan"	"Sitgeta"	"IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>IberoRomance>EastIberian"	"i"	337	2110	2776
"cat"	"Catalan"	"Sitgeta"	"IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>IberoRomance>EastIberian"	"a"	655	1370	2440
"cat"	"Catalan"	"Sitgeta"	"IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>IberoRomance>EastIberian"	"u"	395	980	2356
"cat"	"Catalan"	"Rossellones"	"IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>IberoRomance>EastIberian"	"i"	288	2124	2853
